"","year","month","mean_temp_ger"
"760",1930,"06",18.21
"761",1931,"06",16.06
"762",1932,"06",14.61
"763",1933,"06",14.32
"764",1934,"06",16.35
"765",1935,"06",17.22
"766",1936,"06",16.16
"767",1937,"06",16.3
"768",1938,"06",15.97
"769",1939,"06",16.3
"770",1940,"06",16.67
"771",1941,"06",16.3
"772",1942,"06",14.39
"773",1943,"06",14.36
"774",1944,"06",14.16
"775",1945,"06",16.62
"776",1946,"06",14.75
"777",1947,"06",17.85
"778",1948,"06",15.59
"779",1949,"06",14.09
"780",1950,"06",17.56
"781",1951,"06",15.29
"782",1952,"06",15.22
"783",1953,"06",16.09
"784",1954,"06",15.98
"785",1955,"06",14.55
"786",1956,"06",13.21
"787",1957,"06",16.72
"788",1958,"06",14.51
"789",1959,"06",16.12
"790",1960,"06",16.23
"791",1961,"06",16
"792",1962,"06",14.2
"793",1963,"06",15.83
"794",1964,"06",16.92
"795",1965,"06",15.52
"796",1966,"06",16.86
"797",1967,"06",14.7
"798",1968,"06",16
"799",1969,"06",14.82
"800",1970,"06",17.16
"801",1971,"06",13.9
"802",1972,"06",14.45
"803",1973,"06",16.14
"804",1974,"06",14.08
"805",1975,"06",14.74
"806",1976,"06",17.37
"807",1977,"06",15.47
"808",1978,"06",14.76
"809",1979,"06",16.53
"810",1980,"06",14.69
"811",1981,"06",15.28
"812",1982,"06",16.27
"813",1983,"06",16.26
"814",1984,"06",13.74
"815",1985,"06",13.52
"816",1986,"06",15.89
"817",1987,"06",13.89
"818",1988,"06",15.02
"819",1989,"06",15.32
"820",1990,"06",15.18
"821",1991,"06",13.5
"822",1992,"06",17.29
"823",1993,"06",15.65
"824",1994,"06",15.93
"825",1995,"06",14.34
"826",1996,"06",15.65
"827",1997,"06",15.85
"828",1998,"06",16.45
"829",1999,"06",15.23
"830",2000,"06",16.99
"831",2001,"06",14.34
"832",2002,"06",17.39
"833",2003,"06",19.35
"834",2004,"06",15.27
"835",2005,"06",16.38
"836",2006,"06",16.82
"837",2007,"06",17.38
"838",2008,"06",16.94
"839",2009,"06",14.81
"840",2010,"06",16.33
"841",2011,"06",16.54
"842",2012,"06",15.47
"843",2013,"06",15.66
"844",2014,"06",16.09
"845",2015,"06",15.82
"846",2016,"06",16.99
"847",2017,"06",17.76
"848",2018,"06",17.73
"849",2019,"06",19.78
"850",2020,"06",16.89
"851",2021,"06",18.98
"852",2022,"06",18.33
"853",1881,"07",18.6
"854",1882,"07",16.76
"855",1883,"07",16.66
"856",1884,"07",18.2
"857",1885,"07",17.3
"858",1886,"07",16.81
"859",1887,"07",18.71
"860",1888,"07",14.66
"861",1889,"07",16.35
"862",1890,"07",15.44
"863",1891,"07",16.21
"864",1892,"07",15.99
"865",1893,"07",17.42
"866",1894,"07",17.83
"867",1895,"07",17.24
"868",1896,"07",17.02
"869",1897,"07",16.48
"870",1898,"07",14.36
"871",1899,"07",17.31
"872",1900,"07",18.42
"873",1901,"07",18.46
"874",1902,"07",15.82
"875",1903,"07",16.24
"876",1904,"07",18.75
"877",1905,"07",18.61
"878",1906,"07",17.19
"879",1907,"07",14.46
"880",1908,"07",17.18
"881",1909,"07",15.03
"882",1910,"07",15.52
"883",1911,"07",19.15
"884",1912,"07",17.92
"885",1913,"07",14.61
"886",1914,"07",17.55
"887",1915,"07",16.18
"888",1916,"07",16.01
"889",1917,"07",17.32
"890",1918,"07",16.5
"891",1919,"07",14.36
"892",1920,"07",17.37
"893",1921,"07",18.71
"894",1922,"07",15.68
"895",1923,"07",18.62
"896",1924,"07",16.72
"897",1925,"07",17.86
"898",1926,"07",17.38
"899",1927,"07",17.28
"900",1928,"07",18.35
"901",1929,"07",17.51
"902",1930,"07",16.35
"903",1931,"07",16.84
"904",1932,"07",17.92
"905",1933,"07",18.08
"906",1934,"07",18.29
"907",1935,"07",17.78
"908",1936,"07",16.79
"909",1937,"07",17.15
"910",1938,"07",16.72
"911",1939,"07",17.01
"912",1940,"07",16.16
"913",1941,"07",18.55
"914",1942,"07",16.06
"915",1943,"07",17.68
"916",1944,"07",17.39
"917",1945,"07",17.85
"918",1946,"07",18.43
"919",1947,"07",18.86
"920",1948,"07",16.17
"921",1949,"07",17.6
"922",1950,"07",17.98
"923",1951,"07",17.11
"924",1952,"07",18.27
"925",1953,"07",17.41
"926",1954,"07",14.4
"927",1955,"07",17.35
"928",1956,"07",16.86
"929",1957,"07",17.69
"930",1958,"07",16.95
"931",1959,"07",19.28
"932",1960,"07",15.41
"933",1961,"07",15.14
"934",1962,"07",15.01
"935",1963,"07",17.7
"936",1964,"07",18.05
"937",1965,"07",14.99
"938",1966,"07",15.55
"939",1967,"07",18.62
"940",1968,"07",16.19
"941",1969,"07",18.44
"942",1970,"07",16.12
"943",1971,"07",18.01
"944",1972,"07",17.69
"945",1973,"07",17.21
"946",1974,"07",15.29
"947",1975,"07",18.19
"948",1976,"07",19.33
